company_name,ticker,us_investable_class,total_original_non_nme,distinct_applications,n_type2_new_active,n_type3_new_dosage,n_type4_new_combination,n_type5_formulation_or_manufacturer,n_new_indication_original,n_biosimilar_or_unpublished_bla,n_medical_gas,n_other,clinical_relevant_count,priority_review_count,priority_review_share_pct,first_orig_date,last_orig_date,orig_last_5y,orig_velocity_per_yr,novel_approvals_tracked,rows_flagged_for_review,evidence_basis,verification_status
AbbVie Inc.,ABBV,US-LISTED,58,58,2,34,8,10,2,0,0,2,46,16,27.6,2000-03-03,2025-02-07,5,1.0,10,0,"58 original non-NME FDA approvals across 58 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 46. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=ABBV) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Pfizer Inc.,PFE,US-LISTED,70,69,5,22,3,23,11,1,0,5,41,5,7.1,2000-01-28,2024-03-07,7,1.4,32,1,"70 original non-NME FDA approvals across 69 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 41. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=PFE) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records - 1 row(s) flagged for review
Bausch Health Companies Inc.,BHC,US-LISTED,46,46,2,27,6,8,2,0,0,1,37,3,6.5,2000-01-28,2023-10-20,1,0.2,5,0,"46 original non-NME FDA approvals across 46 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 37. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=BHC) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Novartis AG,NVS,US-LISTED (ADR),36,36,2,16,8,5,4,0,0,1,30,7,19.4,2000-04-21,2024-04-24,7,1.4,39,1,"36 original non-NME FDA approvals across 36 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 30. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=NVS) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records - 1 row(s) flagged for review
Johnson & Johnson,JNJ,US-LISTED,36,36,1,19,7,6,2,1,0,0,29,11,30.6,2000-03-03,2026-02-27,9,1.8,28,0,"36 original non-NME FDA approvals across 36 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 29. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=JNJ) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
AstraZeneca PLC,AZN,US-LISTED (ADR),30,30,2,11,7,3,4,0,0,3,24,6,20.0,2000-08-08,2026-04-24,6,1.2,26,1,"30 original non-NME FDA approvals across 30 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 24. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=AZN) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records - 1 row(s) flagged for review
Merck & Co.,MRK,US-LISTED,25,25,0,13,6,1,5,0,0,0,24,9,36.0,2000-12-08,2025-10-15,2,0.4,30,0,"25 original non-NME FDA approvals across 25 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 24. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=MRK) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Bayer AG,BAYRY,US-LISTED (ADR),30,30,1,10,5,4,6,0,0,4,22,2,6.7,2000-03-07,2021-06-17,0,0.0,16,0,"30 original non-NME FDA approvals across 30 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 22. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=BAYRY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Teva Pharmaceutical Industries Ltd,TEVA,US-LISTED (ADR),33,33,1,15,1,14,2,0,0,0,19,1,3.0,2000-09-15,2026-03-27,5,1.0,6,0,"33 original non-NME FDA approvals across 33 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 19. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=TEVA) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Viatris Inc,VTRS,US-LISTED,30,30,1,15,2,9,1,2,0,0,19,5,16.7,2000-03-02,2026-07-28,2,0.4,3,0,"30 original non-NME FDA approvals across 30 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 19. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=VTRS) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Takeda Pharmaceutical Company Limited,TAK,US-LISTED (ADR),21,21,1,12,5,1,0,0,0,2,18,2,9.5,2001-05-03,2024-04-18,3,0.6,10,0,"21 original non-NME FDA approvals across 21 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 18. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=TAK) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Bristol-Myers Squibb Company,BMY,US-LISTED,19,19,0,10,3,1,5,0,0,0,18,7,36.8,2000-07-31,2025-04-17,3,0.6,24,0,"19 original non-NME FDA approvals across 19 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 18. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=BMY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Eli Lilly and Company,LLY,US-LISTED,18,17,2,4,1,3,8,0,0,0,15,4,22.2,2001-02-26,2024-04-10,4,0.8,24,0,"18 original non-NME FDA approvals across 17 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 15. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=LLY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Galderma Group AG,GALDY,US-LISTED (ADR),17,17,0,13,2,1,0,0,0,1,15,0,0.0,2000-05-26,2026-05-22,1,0.2,0,0,"17 original non-NME FDA approvals across 17 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 15. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=GALDY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Gilead Sciences, Inc.",GILD,US-LISTED,17,17,0,6,7,2,2,0,0,0,15,12,70.6,2004-08-02,2026-08-27,4,0.8,16,0,"17 original non-NME FDA approvals across 17 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 15. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=GILD) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Novo Nordisk A/S,NVO,US-LISTED (ADR),16,16,0,4,4,1,7,0,0,0,15,3,18.8,2000-04-11,2025-12-22,2,0.4,9,0,"16 original non-NME FDA approvals across 16 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 15. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=NVO) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Sanofi,SNY,US-LISTED (ADR),23,23,0,12,1,5,1,1,0,3,14,3,13.0,2000-02-25,2026-07-09,2,0.4,18,0,"23 original non-NME FDA approvals across 23 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 14. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=SNY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Organon & Co.,OGN,US-LISTED,16,16,2,9,3,2,0,0,0,0,14,1,6.2,2001-01-12,2021-12-07,1,0.2,0,0,"16 original non-NME FDA approvals across 16 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 14. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=OGN) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Haleon plc,HLN,US-LISTED (ADR),16,16,2,5,6,2,0,0,0,1,13,0,0.0,2002-04-18,2020-02-28,0,0.0,0,0,"16 original non-NME FDA approvals across 16 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 13. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=HLN) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
GlaxoSmithKline plc,GSK,US-LISTED,13,13,1,8,1,2,1,0,0,0,11,2,15.4,2000-07-14,2025-10-23,2,0.4,35,0,"13 original non-NME FDA approvals across 13 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 11. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=GSK) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Bausch + Lomb Corporation,BLCO,US-LISTED,16,16,0,7,2,7,0,0,0,0,9,1,6.2,2004-06-04,2024-04-19,3,0.6,2,0,"16 original non-NME FDA approvals across 16 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 9. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=BLCO) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Fresenius SE & Co. KGaA,FSNUY,US-LISTED (ADR),32,30,5,2,1,16,0,4,0,4,8,1,3.1,2004-07-13,2026-07-29,12,2.4,0,1,"32 original non-NME FDA approvals across 30 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 8. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=FSNUY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records - 1 row(s) flagged for review
Kenvue Inc.,KVUE,US-LISTED,9,9,0,5,3,0,0,0,0,1,8,0,0.0,2000-08-01,2026-07-24,1,0.2,0,0,"9 original non-NME FDA approvals across 9 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 8. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=KVUE) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Alcon Inc.,ALC,US-LISTED,13,13,1,2,2,4,2,0,0,2,7,3,23.1,2000-02-23,2020-10-26,0,0.0,6,0,"13 original non-NME FDA approvals across 13 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 7. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=ALC) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Celltrion, Inc.",068270.KS,NON-US LISTING ONLY,13,12,4,2,0,1,0,6,0,0,6,0,0.0,2016-04-05,2026-01-21,10,2.0,0,0,"13 original non-NME FDA approvals across 12 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 6. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=068270.KS) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Samsung Biologics Co., Ltd.",207940.KS,NON-US LISTING ONLY,13,10,3,3,0,3,0,3,0,1,6,0,0.0,2017-04-21,2025-11-28,9,1.8,0,0,"13 original non-NME FDA approvals across 10 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 6. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=207940.KS) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Harrow, Inc.",HROW,US-LISTED,10,10,0,6,0,4,0,0,0,0,6,2,20.0,2003-04-15,2024-03-04,3,0.6,0,0,"10 original non-NME FDA approvals across 10 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 6. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=HROW) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Indivior PLC,INDV,US-LISTED,6,6,0,4,2,0,0,0,0,0,6,3,50.0,2002-10-08,2023-05-22,1,0.2,0,0,"6 original non-NME FDA approvals across 6 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 6. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=INDV) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Baxter International Inc.,BAX,US-LISTED,19,19,0,4,1,14,0,0,0,0,5,2,10.5,2002-03-21,2026-08-14,9,1.8,1,0,"19 original non-NME FDA approvals across 19 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 5. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=BAX) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Eisai Co., Ltd.",ESALY,US-LISTED (ADR),6,6,0,4,0,0,1,1,0,0,5,0,0.0,2002-11-08,2025-08-29,1,0.2,3,0,"6 original non-NME FDA approvals across 6 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 5. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=ESALY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Horizon Therapeutics Ireland DAC,HZNP,US-LISTED,6,6,0,3,2,1,0,0,0,0,5,0,0.0,2010-04-30,2020-02-14,0,0.0,1,0,"6 original non-NME FDA approvals across 6 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 5. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=HZNP) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Jazz Pharmaceuticals plc,JAZZ,US-LISTED,5,5,1,2,1,0,1,0,0,0,5,2,40.0,2004-02-10,2020-07-21,0,0.0,4,0,"5 original non-NME FDA approvals across 5 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 5. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=JAZZ) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Astellas Pharma Inc.,ALPMY,US-LISTED (ADR),5,5,0,5,0,0,0,0,0,0,5,2,40.0,2013-07-19,2020-08-04,0,0.0,4,0,"5 original non-NME FDA approvals across 5 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 5. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=ALPMY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Supernus Pharmaceuticals, Inc.",SUPN,US-LISTED,4,4,0,4,0,0,0,0,0,0,4,0,0.0,2012-10-19,2018-02-16,0,0.0,1,0,"4 original non-NME FDA approvals across 4 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 4. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=SUPN) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Amneal Pharmaceuticals, Inc.",AMRX,US-LISTED,13,13,0,3,0,8,0,2,0,0,3,0,0.0,2001-09-17,2026-07-09,8,1.6,0,0,"13 original non-NME FDA approvals across 13 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 3. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=AMRX) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Amgen Inc.,AMGN,US-LISTED,11,11,2,1,0,2,0,6,0,0,3,1,9.1,2016-09-23,2025-08-29,5,1.0,13,0,"11 original non-NME FDA approvals across 11 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 3. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=AMGN) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
ANI Pharmaceuticals Inc,ANIP,US-LISTED,5,5,0,2,1,1,0,0,0,1,3,0,0.0,2000-09-05,2012-02-14,0,0.0,0,0,"5 original non-NME FDA approvals across 5 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 3. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=ANIP) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Reckitt Benckiser Group plc,RBGLY,US-LISTED (ADR),4,4,0,2,1,1,0,0,0,0,3,0,0.0,2002-07-12,2025-12-22,1,0.2,0,0,"4 original non-NME FDA approvals across 4 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 3. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=RBGLY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Heron Therapeutics, Inc.",HRTX,US-LISTED,4,4,0,1,1,1,1,0,0,0,3,1,25.0,2016-08-09,2022-09-16,1,0.2,0,0,"4 original non-NME FDA approvals across 4 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 3. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=HRTX) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Otsuka Pharmaceutical Co., Ltd. (with Lundbeck)",OTSKY,US-LISTED (ADR),3,3,0,3,0,0,0,0,0,0,3,1,33.3,2009-08-21,2016-10-07,0,0.0,2,0,"3 original non-NME FDA approvals across 3 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 3. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=OTSKY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Vertex Pharmaceuticals,VRTX,US-LISTED,3,3,0,3,0,0,0,0,0,0,3,3,100.0,2015-03-17,2023-04-26,1,0.2,7,0,"3 original non-NME FDA approvals across 3 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 3. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=VRTX) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Sumitomo Pharma Co., Ltd.",4506.T,NON-US LISTING ONLY,3,3,0,2,1,0,0,0,0,0,3,0,0.0,2017-12-05,2021-05-26,0,0.0,0,0,"3 original non-NME FDA approvals across 3 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 3. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=4506.T) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
BeOne Medicines (formerly BeiGene),ONC,US-LISTED,3,3,0,1,0,0,2,0,0,0,3,0,0.0,2024-12-26,2025-06-10,3,0.6,3,0,"3 original non-NME FDA approvals across 3 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 3. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=ONC) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
United Therapeutics Corporation,UTHR,US-LISTED,5,5,0,2,0,2,0,0,1,0,2,1,20.0,2009-07-30,2022-05-23,1,0.2,2,1,"5 original non-NME FDA approvals across 5 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 2. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=UTHR) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records - 1 row(s) flagged for review
Perrigo Company plc,PRGO,US-LISTED,4,4,0,2,0,1,0,0,0,1,2,0,0.0,2004-06-24,2022-03-17,1,0.2,0,0,"4 original non-NME FDA approvals across 4 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 2. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=PRGO) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
